
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.901255E+00 -1.441276E-11 -7.206241E-11
        66  1.901255E+00  1.441279E-11 -7.206391E-11
        67  1.901255E+00  1.441263E-11  7.206423E-11
        68  1.901255E+00 -1.441268E-11  7.206204E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.561117E-04  9.122234E-05
        66  1.000000E-02 -4.561117E-04  9.122234E-05
        67  1.000000E-02 -4.561117E-04 -9.122234E-05
        68  1.000000E-02  4.561117E-04 -9.122234E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         8   8  5.067437E-04 -1.824265E-04 -1.824286E-04 -1.801869E-09  1.630676E-10  1.270319E-21
         9   1  5.067443E-04 -1.824273E-04 -1.824282E-04  3.810945E-10 -1.729946E-11  4.170876E-20
         9   2  5.067443E-04 -1.824277E-04 -1.824281E-04  3.810945E-10 -1.729946E-11  3.678628E-20
         9   3  5.067443E-04 -1.824273E-04 -1.824282E-04 -3.810945E-10 -1.729946E-11 -5.504709E-21
         9   4  5.067443E-04 -1.824277E-04 -1.824281E-04 -3.810945E-10 -1.729946E-11  1.476744E-20
         9   5  5.067443E-04 -1.824273E-04 -1.824282E-04  3.810945E-10  1.729946E-11  2.117196E-20
         9   6  5.067443E-04 -1.824277E-04 -1.824281E-04  3.810945E-10  1.729946E-11  7.304326E-20
         9   7  5.067443E-04 -1.824273E-04 -1.824282E-04 -3.810945E-10  1.729946E-11  2.117196E-20
         9   8  5.067443E-04 -1.824277E-04 -1.824281E-04 -3.810945E-10  1.729946E-11  1.545553E-20
        10   1  5.067445E-04 -1.824279E-04 -1.824281E-04  8.204397E-11 -6.282468E-12  6.351588E-20
        10   2  5.067445E-04 -1.824280E-04 -1.824281E-04  8.204397E-11 -6.282468E-12 -3.080520E-20
        10   3  5.067445E-04 -1.824279E-04 -1.824281E-04 -8.204397E-11 -6.282468E-12  9.315663E-21
        10   4  5.067445E-04 -1.824280E-04 -1.824281E-04 -8.204397E-11 -6.282468E-12 -3.435151E-20
        10   5  5.067445E-04 -1.824279E-04 -1.824281E-04  8.204397E-11  6.282468E-12  4.488456E-20
        10   6  5.067445E-04 -1.824280E-04 -1.824281E-04  8.204397E-11  6.282468E-12 -6.139868E-21
        10   7  5.067445E-04 -1.824279E-04 -1.824281E-04 -8.204397E-11  6.282467E-12  1.778445E-20
        10   8  5.067445E-04 -1.824280E-04 -1.824281E-04 -8.204397E-11  6.282468E-12 -2.879387E-20
        11   1  5.067445E-04 -1.824280E-04 -1.824280E-04  1.744815E-11 -9.620657E-13 -6.351588E-22
        11   2  5.067445E-04 -1.824280E-04 -1.824280E-04  1.744815E-11 -9.620649E-13  1.053305E-20
        11   3  5.067445E-04 -1.824280E-04 -1.824280E-04 -1.744815E-11 -9.620653E-13  6.775027E-21
